,CumBOE,CumGas,CumOil,DrillType,Field,First6BOE,FirstProdDate,GrossPerforatedInterval,HorizontalLength,LowerPerforation,OperatorAlias,Range,TargetFormation,TotalDepth,Township,TreatmentJobCount,UpperPerforation,VerticalDepth,WellName,WellNumber,gel,sandmass,slick,xlinkgel
5001098010000,188242.0,273498.0,142659.0,H,WATTENBERG,46241.0,2015-01-01,,2247.84,,WARD PETR,67W,CODELL,10161.0,01S,1.0,,7774.0,SHARP,24-3-11HC,0.0,2533880.960390808,1.0,1.0
5001097850000,22828.0,39256.0,16285.0,H,THIRD CREEK,7094.0,2014-06-01,,4499.09,,EXTRACTION O&G,66W,NIOBRARA,12177.31,01S,1.0,,7576.73,STATE OF CO,1S-66-36-1609CH,0.0,3274332.4408224076,1.0,1.0
5001097830000,23909.0,44706.0,16458.0,H,THIRD CREEK,8304.0,2014-06-01,,4556.06,,EXTRACTION O&G,66W,NIOBRARA,12164.98,01S,1.0,,7511.68,STATE OF CO,1S-66-36-0108BH,0.0,3045143.183807207,1.0,1.0
5001097820000,21407.0,45118.0,13887.0,H,WATTENBERG,7118.0,2014-06-01,,4525.4,,EXTRACTION O&G,66W,NIOBRARA,12194.7,01S,1.0,,7574.72,STATE OF CO,1S-66-36-0108CH,0.0,2784210.5591254295,1.0,1.0
5001097810000,31084.0,65779.0,20121.0,H,THIRD CREEK,10385.0,2014-06-01,,4504.51,,EXTRACTION O&G,66W,NIOBRARA,12117.48,01S,1.0,,7513.7,STATE OF CO,1S-66-36-1609BH,0.0,3056162.09867342,1.0,1.0
5001097800000,17477.0,17110.0,14625.0,H,THIRD CREEK,6927.0,2014-06-01,,4512.42,,EXTRACTION O&G,66W,CODELL,12347.0,01S,1.0,,7737.69,STATE OF CO,1-66-36-1609CDH,0.0,3144599.9418157577,1.0,1.0
5001097780000,179792.0,495129.0,97271.0,H,SPINDLE,60797.0,2014-04-01,,4200.24,,WARD PETR,68W,CODELL,12601.0,01S,1.0,,8018.0,AFTON,12-16H-4,0.0,2663777.655416646,1.0,1.0
5001097770000,58379.0,195049.0,25871.0,H,SPINDLE,22572.0,2015-10-01,,4529.93,,GREAT WESTERN OPERATING,67W,NIOBRARA,12835.0,01S,1.0,,8045.0,WILLOW BEND LD,18-366HC,0.0,3443318.6718340553,0.0,0.0
5001097750000,44004.0,186020.0,13001.0,H,SPINDLE,15686.0,2015-10-01,,4490.44,,GREAT WESTERN OPERATING,67W,NIOBRARA,12482.0,01S,1.0,,7826.0,WILLOW BEND LD,18-37HN,0.0,3630947.434334727,0.0,0.0
5001097730000,42838.0,146086.0,18490.0,H,SPINDLE,13982.0,2015-10-01,,4584.27,,GREAT WESTERN OPERATING,67W,NIOBRARA,12663.0,01S,1.0,,7799.0,WILLOW BEND LD,18-23HN,0.0,2542701.1700620884,0.0,0.0
5001097720000,112547.0,314442.0,60140.0,H,SPINDLE,50405.0,2014-08-01,,4458.2,,GREAT WESTERN OPERATING,67W,NIOBRARA,12482.0,01S,1.0,,7838.37,WILLOW BEND LD,18-22HN,0.0,2970634.517082813,1.0,1.0
5001098410000,64313.0,269514.0,19394.0,H,WATTENBERG,23404.0,2015-10-01,,4463.02,,GREAT WESTERN OPERATING,67W,CODELL,12708.0,01S,1.0,,8045.0,WILLOW BEND LD,18-361HC,0.0,3141627.728123833,0.0,0.0
5001098450000,246332.0,420351.0,176273.0,H,WATTENBERG,97243.0,2015-06-01,,4658.59,,WARD PETR,67W,CODELL,12816.0,01S,1.0,,7841.0,WARD RIVERDALE,14-4-12HC,0.0,3998956.675565462,1.0,0.0
5001098470000,250738.0,348722.0,192618.0,H,WATTENBERG,93034.0,2015-10-01,,5786.57,,WARD PETR,66W,CODELL,12510.0,01S,1.0,,7707.0,ANDERSON,19-1-10HC,0.0,3938536.6315469267,1.0,0.0
5001098580000,147990.0,118273.0,128278.0,H,WATTENBERG,110590.0,2017-08-01,9607.0,5250.96,17959.0,WARD PETR,67W,NIOBRARA,17952.0,01S,1.0,8352.0,7772.0,SCHAEFER,2536-1-4HC,0.0,15339412.873448169,1.0,1.0
